JOBID,Ansatz,Hamiltonian VQE,Hamiltonian Gradient,# masses,Fixed Ansatz,Operator Pool,Simulator,Mem,Cores,Optimizer,System Size,Remark,Result
23886472,12,PH,PH,50,00001111+11110000,R_x; R_y; R_z; R_{XY+YX}; R_{XX+YY}; R_{XY-YX}; R_{XX-YY},AER-SVE,500,96,SLSQP,2x2,,No circuit build (Energy=0)
23886762,13,PH,PH,50,11001100+00110011,R_x; R_y; R_z; R_{XY+YX}; R_{XX+YY}; R_{XY-YX}; R_{XX-YY},AER-SVE,500,96,SLSQP,2x2,,No circuit build (Energy=0)
23954272,14,PH,PH,50,(00+11)^4,R_x; R_y; R_z; R_{XY+YX}; R_{XX+YY}; R_{XY-YX}; R_{XX-YY} (Arbitrary far 2 qbit gates),AER-SVE,500,96,SLSQP,2x2,,"EEE, 2 ES"
23954327,14,PH,PH,50,(00+11)^4,R_x; R_y; R_z; R_{XY+YX}; R_{XX+YY}; R_{XY-YX}; R_{XX-YY} (Arbitrary far 2 qbit gates),AER-SVE,500,96,SLSQP,2x2,New exit option for small parameter values added from here on out,"EEE, ES"
23954408,7,PH,PH,50,Full superpositon,R_x; R_y; R_z; R_{XX+YY}; R_{XY-YX},AER-SVE,500,96,SLSQP,2x2,,"GS (or), ES (10, mr), EEE (r)"
23954444,15,PH,PH,50,Full superpositon,R_z; R_{XX+YY}; R_{XY-YX} (Arbitrary far 2 qbit gates),AER-SVE,500,96,SLSQP,2x2,,ES (Energy ~200)
23954474,16,PH,PH,50,Full superpositon,R_z; R_{XX+YY}; R_{XY-YX},SVE,500,96,SLSQP,2x2,,ES (Energy ~200)
23954477,17,PH,PH,50,(00+11)^4,R_z; R_{XX+YY}; R_{XY-YX} (Arbitrary far 2 qbit gates),SVE,500,96,SLSQP,2x2,,No circuit build (Energy=400)
23954761,18,PH,PH,50,10101010,R_z; R_{XX+YY}; R_{XY-YX} (Arbitrary far 2 qbit gates),SVE,500,96,SLSQP,2x2,,EEE (Energy = -4)
23954764,19,PH,PH,50,10101010,R_z; R_{XX+YY}; R_{XY-YX},SVE,500,96,SLSQP,2x2,,ES (Energy = -1)
23954819,7,PH,NH,50,Full superpositon,R_x; R_y; R_z; R_{XX+YY}; R_{XY-YX},SVE,500,96,SLSQP,2x2,,"GS (or), ES (mr), EEE (r)"
23954825,12,PH,NH,50,00001111+11110000,R_x; R_y; R_z; R_{XY+YX}; R_{XX+YY}; R_{XY-YX}; R_{XX-YY},SVE,500,96,SLSQP,2x2,,No circuit build (Energy=0)
23954828,13,PH,NH,50,11001100+00110011,R_x; R_y; R_z; R_{XY+YX}; R_{XX+YY}; R_{XY-YX}; R_{XX-YY},SVE,500,96,SLSQP,2x2,,No circuit build (Energy=0)
23954829,14,PH,NH,50,(00+11)^4,R_x; R_y; R_z; R_{XY+YX}; R_{XX+YY}; R_{XY-YX}; R_{XX-YY} (Arbitrary far 2 qbit gates),SVE,500,96,SLSQP,2x2,,No circuit build (Energy=400)
23954830,15,PH,NH,50,Full superpositon,R_z; R_{XX+YY}; R_{XY-YX} (Arbitrary far 2 qbit gates),SVE,500,96,SLSQP,2x2,,ES (Energy ~200)
23954833,16,PH,NH,50,Full superpositon,R_z; R_{XX+YY}; R_{XY-YX},SVE,500,96,SLSQP,2x2,,ES (Energy ~200)
23954836,17,PH,NH,50,(00+11)^4,R_z; R_{XX+YY}; R_{XY-YX} (Arbitrary far 2 qbit gates),SVE,500,96,SLSQP,2x2,,No circuit build (Energy=400)
23954839,18,PH,NH,50,10101010,R_z; R_{XX+YY}; R_{XY-YX} (Arbitrary far 2 qbit gates),SVE,500,96,SLSQP,2x2,,EEE (Energy = -4)
23954845,19,PH,NH,50,10101010,R_z; R_{XX+YY}; R_{XY-YX},SVE,500,96,SLSQP,2x2,,ES (Energy = -1)
23956503,20,PH,PH,50,(00+11)^4,R_x; R_y; R_z; R_{XY+YX}; R_{XX+YY}; R_{XY-YX}; R_{XX-YY},SVE,500,96,SLSQP,2x2,,"ES (Energy=200,300), 9 EEE"
23963013,21,PH,PH,50,Full superpositon,R_x; R_y; R_z; R_{XX+YY}; R_{XY-YX} (Arbitrary far 2 qbit gates),SVE,500,96,SLSQP,2x2,,"GS (or), ES (6, mr), EEE (r)"
23963426,21,PH,PH,50,Full superpositon,R_x; R_y; R_z; R_{XX+YY}; R_{XY-YX} (Arbitrary far 2 qbit gates),SVE,500,96,SLSQP,2x2,opt_tol=1e-7,"GS (or), ES (7, mr), EEE (r)"
23963454,7,PH,PH,50,Full superpositon,R_x; R_y; R_z; R_{XX+YY}; R_{XY-YX},SVE,500,96,SLSQP,2x2,opt_tol=1e-7,"GS (or), ES (10, mr), EEE (r)"
23963560,7,PH,PH,50,Full superpositon,R_x; R_y; R_z; R_{XX+YY}; R_{XY-YX},SVE,500,96,SLSQP,2x2,opt_tol=1e-8,"GS (or), ES (10, mr), EEE (r)"
23963561,21,PH,PH,50,Full superpositon,R_x; R_y; R_z; R_{XX+YY}; R_{XY-YX} (Arbitrary far 2 qbit gates),SVE,500,96,SLSQP,2x2,opt_tol=1e-8,"GS (or), ES (7, mr), EEE (r)"
23963607,21,PH,PH,50,Full superpositon,R_x; R_y; R_z; R_{XX+YY}; R_{XY-YX} (Arbitrary far 2 qbit gates),SVE,500,96,SLSQP,2x2,opt_tol=1e-9,"GS (or), ES (6, mr), EEE (r)"
23963611,7,PH,PH,50,Full superpositon,R_x; R_y; R_z; R_{XX+YY}; R_{XY-YX},SVE,500,96,SLSQP,2x2,opt_tol=1e-9,"GS (or), ES (10, mr), EEE (r)"
23963697,7,PH,PH,50,Full superpositon,R_x; R_y; R_z; R_{XX+YY}; R_{XY-YX},SVE,500,96,SLSQP,2x2,"opt_tol=1e-9, adapt_prec_cutoff=1e-4","GS (or), ES (10, mr), EEE (r)"
23963703,21,PH,PH,50,Full superpositon,R_x; R_y; R_z; R_{XX+YY}; R_{XY-YX} (Arbitrary far 2 qbit gates),SVE,500,96,SLSQP,2x2,"opt_tol=1e-9, adapt_prec_cutoff=1e-4","GS (or), ES (6, mr), EEE (r)"
23963721,21,PH,PH,50,Full superpositon,R_x; R_y; R_z; R_{XX+YY}; R_{XY-YX} (Arbitrary far 2 qbit gates),SVE,500,96,SLSQP,2x2,"opt_tol=1e-9, adapt_prec_cutoff=1e-5","GS (or), ES (6, mr), EEE (r)"
23963726,7,PH,PH,50,Full superpositon,R_x; R_y; R_z; R_{XX+YY}; R_{XY-YX},SVE,500,96,SLSQP,2x2,"opt_tol=1e-9, adapt_prec_cutoff=1e-5","GS (or), ES (10, mr), EEE (r)"
23963996,7,PH,PH,50,Full superpositon,R_x; R_y; R_z; R_{XX+YY}; R_{XY-YX},SVE,500,96,SLSQP,2x2,"opt_tol=1e-9, adapt_prec_cutoff=1e-5, parameter_prec_cutoff=-1","GS (or), ES (10, mr), EEE (r)"
23964018,21,PH,PH,50,Full superpositon,R_x; R_y; R_z; R_{XX+YY}; R_{XY-YX} (Arbitrary far 2 qbit gates),SVE,500,96,SLSQP,2x2,"opt_tol=1e-9, adapt_prec_cutoff=1e-5, parameter_prec_cutoff=-1","GS (or), ES (6, mr), EEE (r)"
23964134,21,PH,PH,50,Full superpositon,R_x; R_y; R_z; R_{XX+YY}; R_{XY-YX} (Arbitrary far 2 qbit gates),SVE,500,96,SLSQP,2x2,"opt_tol=1e-9, adapt_prec_cutoff=1e-5, parameter_prec_cutoff=-1, allow_duplicate_gates=True","GS (or), ES (6, mr), EEE (r)"
23964135,7,PH,PH,50,Full superpositon,R_x; R_y; R_z; R_{XX+YY}; R_{XY-YX},SVE,500,96,SLSQP,2x2,"opt_tol=1e-9, adapt_prec_cutoff=1e-5, parameter_prec_cutoff=-1, allow_duplicate_gates=True","GS (or), ES (10, mr), EEE (r)"
23964341,14,PH,PH,50,(00+11)^4,R_x; R_y; R_z; R_{XY+YX}; R_{XX+YY}; R_{XY-YX}; R_{XX-YY} (Arbitrary far 2 qbit gates),AER-SVE,500,96,SLSQP,2x2,opt_tol=1e-7,"EEE, 8 ES"
23964343,14,PH,PH,50,(00+11)^4,R_x; R_y; R_z; R_{XY+YX}; R_{XX+YY}; R_{XY-YX}; R_{XX-YY} (Arbitrary far 2 qbit gates),AER-SVE,500,96,SLSQP,2x2,opt_tol=1e-8,"EEE, 7 ES"
23964345,14,PH,PH,50,(00+11)^4,R_x; R_y; R_z; R_{XY+YX}; R_{XX+YY}; R_{XY-YX}; R_{XX-YY} (Arbitrary far 2 qbit gates),AER-SVE,500,96,SLSQP,2x2,opt_tol=1e-9,"EEE, 13 ES"
23964346,14,PH,PH,50,(00+11)^4,R_x; R_y; R_z; R_{XY+YX}; R_{XX+YY}; R_{XY-YX}; R_{XX-YY} (Arbitrary far 2 qbit gates),AER-SVE,500,96,SLSQP,2x2,"opt_tol=1e-9, adapt_prec_cutoff=1e-4","EEE, 13 ES"
23964349,14,PH,PH,50,(00+11)^4,R_x; R_y; R_z; R_{XY+YX}; R_{XX+YY}; R_{XY-YX}; R_{XX-YY} (Arbitrary far 2 qbit gates),AER-SVE,500,96,SLSQP,2x2,"opt_tol=1e-9, adapt_prec_cutoff=1e-5","EEE, 13 ES"
23964355,14,PH,PH,50,(00+11)^4,R_x; R_y; R_z; R_{XY+YX}; R_{XX+YY}; R_{XY-YX}; R_{XX-YY} (Arbitrary far 2 qbit gates),AER-SVE,500,96,SLSQP,2x2,"opt_tol=1e-9, adapt_prec_cutoff=1e-5, parameter_prec_cutoff=-1","EEE, 4 ES"
23964375,14,PH,PH,50,(00+11)^4,R_x; R_y; R_z; R_{XY+YX}; R_{XX+YY}; R_{XY-YX}; R_{XX-YY} (Arbitrary far 2 qbit gates),AER-SVE,500,96,SLSQP,2x2,"opt_tol=1e-9, adapt_prec_cutoff=1e-5, parameter_prec_cutoff=-1, allow_duplicate_gates=True","EEE, 4 ES"
23971901,,,,,,,SVE,50,2,COBYLA,2x2,Rerun of 23862036,"GS (6, or), ES (mr), EEE (r)"
23972292,,,,,,,SVE,50,2,COBYLA,2x2,Rerun of 23963013,"GS (16, or), ES, EEE (r)"
23972344,,,,,,,SVE,50,2,SLSQP,2x2,Rerun of 23963013,"GS (11, or), ES, EEE (r)"
23972378,,,,,,,SVE,50,2,SLSQP,2x2,Rerun of 23964341,"1 GS, EEE, 6 ES (Better in mr)"
23972382,,,,,,,SVE,50,2,SLSQP,2x2,Rerun of 23964375,"3 GS, EEE, 5 ES (Better in mr)"
23972383,,,,,,,SVE,50,2,SLSQP,2x2,Rerun of 23964134,"GS (or), ES (7, mr), EEE(r)"
23972384,,,,,,,SVE,50,2,SLSQP,2x2,Rerun of 23964135,"GS (11, or), ES, EEE (r)"
24236380,P1,PH,PH,4,10101010,C-Invariant-Pool,SVE,50,2,SLSQP,2x2,,EEE (Energy = -4)
24236398,P1,PH,PH,50,10101010,C-Invariant-Pool,SVE,50,2,SLSQP,2x2,,EEE (Energy = -4)
24236417,P2,PH,PH,50,00001111+11110000,C-Invariant-Pool,SVE,50,2,SLSQP,2x2,,No circuit build (Energy=0)
24236464,P3,PH,PH,50,(00+11)^4,C-Invariant-Pool,SVE,50,2,SLSQP,2x2,This fixed ansatz is not Q=0,No circuit build (Energy=400)
24236917,P4,PH,PH,50,11001100+00110011,C-Invariant-Pool,SVE,50,2,SLSQP,2x2,,No circuit build (Energy=0)
24245100,P5,PH,PH,50,b01101010,C-Invariant-Pool,SVE,50,2,SLSQP,2x2,,"GS (mrr), EEE(r)"
24245110,P6,PH,PH,50,b00001111,C-Invariant-Pool,SVE,50,2,SLSQP,2x2,,No circuit build (Energy=0)
24245112,P7,PH,PH,50,10101001,C-Invariant-Pool,SVE,50,2,SLSQP,2x2,,"GS (mlr), EEE(r)"
24245431,P1,PH,NH,50,10101010,C-Invariant-Pool,SVE,50,2,SLSQP,2x2,,EEE (Energy = -4)
24245433,P1,NH,NH,50,10101010,C-Invariant-Pool,SVE,50,2,SLSQP,2x2,,EEE (Energy = -4)
24245436,P5,NH,NH,50,b01101010,C-Invariant-Pool,SVE,50,2,SLSQP,2x2,,"GS (mrr), EEE(r)"
24245438,P5,PH,NH,50,b01101010,C-Invariant-Pool,SVE,50,2,SLSQP,2x2,,"GS (mrr), EEE(r)"
24245440,P8,PH,PH,50,b01010101,C-Invariant-Pool,SVE,50,2,SLSQP,2x2,,EEE (Energy = -4)
24245586,P5,PH,PH,50,b01101010,C-Invariant-Pool,SVE,50,2,SLSQP,2x2,Added random selection of op index in case of equal magnitude gradients; SelSeed is set,"GS (mrr), EEE(r)"
24245600,7,PH,PH,50,Full superpositon,R_x; R_y; R_z; R_{XX+YY}; R_{XY-YX},SVE,50,2,SLSQP,2x2,SelSeed is set,"GS (or), ES (mr), EEE (r)"
,,,,,,,,,,,,,
24623374,22,PH,PH,50,Full superpositon,R_x; R_y; R_z; R_{XX}; R_{YY}; R_{ZZ},SVE,50,2,SLSQP,2x2,modified version with theta_0=pi+b,"GS (or), EEE (mr)"
26631342,22,PH,PH,50,Full superpositon,R_x; R_y; R_z; R_{XX}; R_{YY}; R_{ZZ},SVE,50,2,NFT,2x2,"subset_size=1, modified version with theta_0=pi+b","GS (or), EEE (mr)"
26631391,22,PH,PH,50,Full superpositon,R_x; R_y; R_z; R_{XX}; R_{YY}; R_{ZZ},SVE,50,2,NFT,2x2,"subset_size=2, modified version with theta_0=pi+b","GS (or), EEE (mr)"
26631402,22,PH,PH,50,Full superpositon,R_x; R_y; R_z; R_{XX}; R_{YY}; R_{ZZ},SVE,50,2,NFT,2x2,"subset_size=4, modified version with theta_0=pi+b","GS (or), EEE (mr)"
26631496,22,PH,PH,50,Full superpositon,R_x; R_y; R_z; R_{XX}; R_{YY}; R_{ZZ},SVE,50,2,NFT,2x2,"subset_size=6, modified version with theta_0=pi+b","GS (or), EEE (mr)"
26631761,22,PH,PH,50,Full superpositon,R_x; R_y; R_z; R_{XX}; R_{YY}; R_{ZZ},SVE,50,2,NFT,2x2,"subset_size=8, modified version with theta_0=pi+b","GS (or), EEE (mr)"
26632179,22,PH,PH,50,Full superpositon,R_x; R_y; R_z; R_{XX}; R_{YY}; R_{ZZ},SVE,50,2,NFT,2x2,"subset_size=10, modified version with theta_0=pi+b","GS (or), EEE (mr)"
26695159,22,PH,PH,50,Full superpositon,R_x; R_y; R_z; R_{XX}; R_{YY}; R_{ZZ},SVE,50,2,NFT,2x2,"subset_size=2, modified version with theta_0=0","GS (or), EEE (mr)"
26695313,22,PH,PH,50,Full superpositon,R_x; R_y; R_z; R_{XX}; R_{YY}; R_{ZZ},SVE,50,2,SLSQP,2x2,modified version with theta_0=0,"GS (or), EEE (mr), 1 ES"
